제목,가수,감정,임베디드 코드,,#6c757b
  Haesu (달의 연인 보보경심 려 OST),"허상은, 박영익
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/286011346&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/gabriella-cl-95"" title=""Gabriella CL 95"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Gabriella CL 95</a> · <a href=""https://soundcloud.com/gabriella-cl-95/ost-scarlet-heart-ryeo-my-love-lee-hi-cover"" title=""Ost. Scarlet Heart Ryeo (달의 연인-보보경심 려) - My Love (내 사랑) - Lee Hi (이하이) Cover"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Ost. Scarlet Heart Ryeo (달의 연인-보보경심 려) - My Love (내 사랑) - Lee Hi (이하이) Cover</a></div>",,
  宮 (궁 OST),"김현보, 두번째달
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/254914190&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/yahe2008"" title=""yahe2008"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">yahe2008</a> · <a href=""https://soundcloud.com/yahe2008/trailer-7"" title=""궁(宮) -下- Trailer"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">궁(宮) -下- Trailer</a></div>",,
  궁의 아침 (해를 품은 달 OST),"정세린, 김준석, 신은래
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/197549426&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user747721594"" title=""user747721594"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">user747721594</a> · <a href=""https://soundcloud.com/user747721594/ost"" title=""해를 품은 달 ost - 궁의 아침"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">해를 품은 달 ost - 궁의 아침</a></div>",,
  궐 (해를 품은 달 OST),"정세린, 김준석
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/197549426&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user747721594"" title=""user747721594"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">user747721594</a> · <a href=""https://soundcloud.com/user747721594/ost"" title=""해를 품은 달 ost - 궁의 아침"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">해를 품은 달 ost - 궁의 아침</a></div>",,
  금소화동숙 (옥탑방 왕세자 OST),"김지수, 전해일, 김효원
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/240075168&color=%23a0a0a0&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/biseo"" title=""BISEO"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">BISEO</a> · <a href=""https://soundcloud.com/biseo/ost"" title=""금소화동숙(옥탑방 왕세자ost)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">금소화동숙(옥탑방 왕세자ost)</a></div>",,
  꽃물 (공주의 남자 OST),"이지용, 이유희
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/848842417&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-472408013"" title=""apple495"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">apple495</a> · <a href=""https://soundcloud.com/user-472408013/ost"" title=""공주의 남자 OST - 꽃물"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">공주의 남자 OST - 꽃물</a></div>",,
  달빛이 흐른다 (구르미 그린 달빛 OST),"두번째 달
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/327971520&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/arxymil-erza"" title=""ArXyMil Erza"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">ArXyMil Erza</a> · <a href=""https://soundcloud.com/arxymil-erza/kbs2-ost-special-bgm"" title=""♬ 두 번째 달 - 달빛이 흐른다  구르미 그린 달빛 KBS2 월화드라마 OST   Special BGM ♬"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">♬ 두 번째 달 - 달빛이 흐른다  구르미 그린 달빛 KBS2 월화드라마 OST   Special BGM ♬</a></div>",,
  불허한다 (구르미 그린 달빛 OST),"개미, 이건영, 이성구
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/293886395&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/venus-wong-6"" title=""Venus Wong 4"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Venus Wong 4</a> · <a href=""https://soundcloud.com/venus-wong-6/awmzrsi2rspm"" title=""불허한다 (我不允许) 雲畫的月光 구르미 그린 달빛"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">불허한다 (我不允许) 雲畫的月光 구르미 그린 달빛</a></div>",,
  동동 (動動),"이지용, 조은아
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/230469206&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/like-wall"" title=""Like, Wall"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Like, Wall</a> · <a href=""https://soundcloud.com/like-wall/ost-1"" title=""동동(動動) - 조선 총잡이OST"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">동동(動動) - 조선 총잡이OST</a></div>",,
  생도청의 아침 (바람의 화원 OST),"전창엽
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/164399375&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/pokiring66"" title=""pokiring66"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">pokiring66</a> · <a href=""https://soundcloud.com/pokiring66/ost"" title=""생도청의 아침 바람의 화원 OST"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">생도청의 아침 바람의 화원 OST</a></div>",,
